Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-44-7659-01A	0.116266633413833	0	0.278993961586728	0.0447219136712895	0	0.11307666385798	0.0148019070684751	0.0261144729876072	0.0316128547325473	0	0	0.0197287712679157	0.00618719315250996	0.0669567415602249	0.0191516497901851	0.0888445498135743	0.042992472161378	0.0398445516865244	0.0875711395698548	0	0	0.00313452367937217	0	0.566748425101111	0.826318909433898
TCGA-44-7671-01A	0.0861356647703443	0	0.368386569866774	0.0245303869078108	0	0.0707210552855937	0	0.024548589395161	0	0	0	0	0	0.108328694612095	0.00561700731405687	0.146769877775225	0.00713735372000956	0.0448673476859239	0.111665019261372	0.00129243340563478	0	0	0	0.524992685758449	0.851933508465649
TCGA-44-7672-01A	0.0309939409406979	0.0166705330408034	0.175342690196793	0.0906633086820404	0	0.127841054416433	0.0619925182273548	0	0.0507018429188538	0	0	0.0474813997903971	0.00380704254361075	0.100603321347232	0.0568920872292226	0.117359566928629	0.0367498047879361	0.0100648498737111	0.0678859343329539	0	0	0.00495010474333195	0	0.368840533248699	0.929639093800664
TCGA-44-8120-01A	0.0595968520211562	0	0.136088038497711	0.0672194665629477	0	0.175382335070396	0.0357879107837903	0	0.0102033479463611	0	0	0	0.0158032750181037	0.0757747190318668	0.00866023716205873	0.103497408543988	0.0840785590716573	0.0211956206587975	0.196069391214314	0	0	0.0106428384168518	0.01	0.33657454793867	0.942574531883242
TCGA-44-A479-01A	0.019398117225492	0	0.226324374104655	0.101557220064109	0	0.271540596716332	0.0392652142388448	0.0208478280135244	0.0137871710060226	0.00466323774172717	0.00664945772114376	0	0	0.0571543205005337	0.0905129967298242	0.0976078207548922	0.0214938949860454	0	0.025784743374709	0	0	0.00341300682214508	0	0.377840892039393	0.929489967654576
TCGA-44-A47A-01A	0.0683026767388189	0	0.0355350930905613	0.0416895537740861	0	0.11894594445154	0	0.023477945285246	0.0761423442031633	0	0	0.0730650123005023	0	0.140501233950936	0.00881801629142561	0.0923269001919596	0.167547582119104	0.0710679526561489	0.0825797449465077	0	0	0	0	0.415573922960192	0.909007630570375
TCGA-44-A47G-01A	0.0200978659259933	0.0378237939326632	0.123500050026656	0.122673143542078	0	0.199027525821894	0.0768192762423214	0	0	0	0.00278511423750534	0	0.00737298343286094	0.110633288050039	0.0544182258593892	0.109524902515904	0.0502932204026225	0.010145622914118	0.0636800760494719	0	0	0.0112049110464821	0.01	0.355307326412136	0.934902917675837
TCGA-49-4487-01A	0.0539639452523411	0.0605231957841269	0.10415300917649	0.178327173116213	0	0.0946415977968645	0.0956821354760081	0.000108795625913362	0.0447943807961535	0.0123746841427809	0.00404784626416833	0	0	0.184464756324062	0.0692569168253358	0.0754922844914106	0.00730217545803852	0	0.0148671034700934	0	0	0	0.01	0.367565903695159	0.931608329868481
TCGA-49-4501-01A	0.0934052730369035	0	0.132195623488861	0.0714199480565735	0	0.191250946134066	0.0151283492755526	0	0.0381298046592206	0.0162855039865847	0	0.023685574021593	0.0132939740876805	0.0231202469374802	0.0419472322339365	0.128891324408751	0.0264934763354115	0.0148475631813691	0.163497996246282	0	0	0.00640716390973556	0	0.429551997484016	0.902634557845581
TCGA-49-4510-01A	0.0982673101720468	0	0.441804277007874	0.0729036419303586	0	0.0751093915304196	0.00384435347187966	0.00571965737901597	0.00645866604299827	0	0	0.0254362616419502	0.0026659834645385	0.029743578192868	0.0168595649529778	0.121363570030252	0.0238985159877362	0.0124174770212778	0.0536511221560529	0	0	0.00985662901775351	0	0.601300628686995	0.799726025957534
TCGA-49-4514-01A	0.0575534900091282	0	0.132367329950546	0.148818204164358	0	0.0704549233189371	0.127536271017322	0.0352308446248449	0.0317028313961866	0	0	0.0849217189257072	0.0133815577902432	0.0819496686833467	0.0583478199560743	0.0566118861337369	0.000577651581327469	0.00890375348577721	0.0857835587115417	0	0	0.00585849025092204	0.01	0.356282674757253	0.936317077041494
